tod,timestamp,Run,Interval,Xfersize,Threads,Reqrate,Rate,Rate_std,Rate_max,Resp,Resp_std,Resp_max,MB/sec,MB_read,MB_write,Read_rate,Read_rate_std,Read_rate_max,Read_resp,Read_resp_std,Read_resp_max,Write_rate,Write_rate_std,Write_rate_max,Write_resp,Write_resp_std,Write_resp_max,Mkdir_rate,Mkdir_rate_std,Mkdir_rate_max,Mkdir_resp,Mkdir_resp_std,Mkdir_resp_max,Rmdir_rate,Rmdir_rate_std,Rmdir_rate_max,Rmdir_resp,Rmdir_resp_std,Rmdir_resp_max,Create_rate,Create_rate_std,Create_rate_max,Create_resp,Create_resp_std,Create_resp_max,Open_rate,Open_rate_std,Open_rate_max,Open_resp,Open_resp_std,Open_resp_max,Close_rate,Close_rate_std,Close_rate_max,Close_resp,Close_resp_std,Close_resp_max,Delete_rate,Delete_rate_std,Delete_rate_max,Delete_resp,Delete_resp_std,Delete_resp_max,Getattr_rate,Getattr_rate_std,Getattr_rate_max,Getattr_resp,Getattr_resp_std,Getattr_resp_max,Setattr_rate,Setattr_rate_std,Setattr_rate_max,Setattr_resp,Setattr_resp_std,Setattr_resp_max,Access_rate,Access_rate_std,Access_rate_max,Access_resp,Access_resp_std,Access_resp_max,Compratio,Dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
13:57:01.006,12/05/2024-13:57:01-GMT,rd1,550,115046107,n/a,9999988,7,n/a,n/a,9878.4539,n/a,n/a,768.0156,768,0.0156,6,0,0,11524.8482,5668.8996,42072.828,1,0,0,0.088,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0423,0.01,264.711,6,0,0,0.0125,0.0029,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.5155,0.0235,0.492,0,0
13:57:02.005,12/05/2024-13:57:02-GMT,rd1,551,134217728,n/a,9999988,8,n/a,n/a,11081.4886,n/a,n/a,1024,1024,0,8,0,0,11081.4886,10089.1822,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0378,0.0122,264.711,8,0,0,0.0105,0.0027,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.8285,0.0312,0.7973,0,0
13:57:03.006,12/05/2024-13:57:03-GMT,rd1,552,95886189,n/a,9999988,14,n/a,n/a,7417.7931,n/a,n/a,1280.2188,1280,0.2188,10,0,0,10384.8547,9778.7735,42072.828,4,0,0,0.139,0.0698,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0385,0.0209,264.711,10,0,0,0.013,0.0099,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,1.389,0.4136,0.9754,0,0
13:57:04.006,12/05/2024-13:57:04-GMT,rd1,553,115053129,n/a,9999988,7,n/a,n/a,17155.2977,n/a,n/a,768.0625,768,0.0625,6,0,0,20014.4918,11258.4923,42072.828,1,0,0,0.133,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0362,0.0128,264.711,6,0,0,0.0097,0.0021,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.5163,0.0234,0.4928,0,0
13:57:05.005,12/05/2024-13:57:05-GMT,rd1,554,120796774,n/a,9999988,10,n/a,n/a,10671.4312,n/a,n/a,1152.0078,1152,0.0078,9,0,0,11857.121,11078.8413,42072.828,1,0,0,0.223,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0461,0.0309,264.711,9,0,0,0.0157,0.008,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.7819,0.1799,0.6021,0,0
13:57:06.005,12/05/2024-13:57:06-GMT,rd1,555,134217728,n/a,9999988,13,n/a,n/a,15305.866,n/a,n/a,1664,1664,0,13,0,0,15305.866,8590.0977,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.0338,0.0083,264.711,13,0,0,0.0114,0.0027,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,1.1557,0.4607,0.695,0,0
13:57:07.005,12/05/2024-13:57:07-GMT,rd1,556,111864490,n/a,9999988,12,n/a,n/a,10970.6737,n/a,n/a,1280.1875,1280,0.1875,10,0,0,13164.7768,8282.1573,42072.828,2,0,0,0.158,0.0382,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0489,0.0537,264.711,10,0,0,0.0101,0.0014,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.3984,0.0235,0.3749,0,0
13:57:08.005,12/05/2024-13:57:08-GMT,rd1,557,134217728,n/a,9999988,6,n/a,n/a,12310.3513,n/a,n/a,768,768,0,6,0,0,12310.3513,7096.5898,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0373,0.0156,264.711,6,0,0,0.0097,0.0029,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.5317,0.0234,0.5083,0,0
13:57:09.005,12/05/2024-13:57:09-GMT,rd1,558,111859029,n/a,9999988,12,n/a,n/a,9968.1391,n/a,n/a,1280.125,1280,0.125,10,0,0,11961.7355,12726.7728,42072.828,2,0,0,0.157,0.0099,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0366,0.0198,264.711,10,0,0,0.0092,0.0019,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.3983,0.0156,0.3827,0,0
13:57:10.004,12/05/2024-13:57:10-GMT,rd1,559,118431744,n/a,9999988,17,n/a,n/a,9474.6311,n/a,n/a,1920.0703,1920,0.0703,15,0,0,10737.8983,10275.9649,42072.828,2,0,0,0.127,0.0764,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0286,0.009,264.711,15,0,0,0.0103,0.0043,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.6803,0.0235,0.6568,0,0
